No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.1.10,142.250.193.106,UDP,71,60001  >  443 Len=29
2,0.069851,142.250.193.106,192.168.1.10,UDP,67,443  >  60001 Len=25
3,1.555585,142.251.43.100,192.168.1.10,UDP,117,443  >  64374 Len=75
4,1.684106,192.168.1.10,142.250.193.106,UDP,71,60001  >  443 Len=29
5,1.739114,142.250.193.106,192.168.1.10,UDP,67,443  >  60001 Len=25
6,4.945052,192.168.1.10,142.250.193.106,UDP,71,60001  >  443 Len=29
7,5.014756,142.250.193.106,192.168.1.10,UDP,67,443  >  60001 Len=25
8,5.040233,192.168.1.10,35.190.80.1,TCP,55,63726  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1
9,5.045661,35.190.80.1,192.168.1.10,TCP,66,443  >  63726 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2
10,5.548841,192.168.1.10,57.144.211.32,TLSv1.2,123,Application Data
11,5.570608,57.144.211.32,192.168.1.10,TCP,54,443  >  57397 [ACK] Seq=1 Ack=70 Win=822 Len=0
12,5.863937,57.144.211.32,192.168.1.10,TLSv1.2,125,Application Data
13,5.911266,192.168.1.10,57.144.211.32,TCP,54,57397  >  443 [ACK] Seq=70 Ack=72 Win=253 Len=0
14,7.608834,142.250.4.188,192.168.1.10,TCP,54,5228  >  60194 [ACK] Seq=1 Ack=1 Win=1046 Len=0
15,7.608834,142.250.4.188,192.168.1.10,TCP,54,[TCP Previous segment not captured] 5228  >  60194 [ACK] Seq=662 Ack=1 Win=1046 Len=0
16,7.608871,192.168.1.10,142.250.4.188,TCP,54,[TCP ACKed unseen segment] 60194  >  5228 [ACK] Seq=1 Ack=662 Win=250 Len=0
17,7.942057,192.168.1.10,148.113.8.158,TCP,55,56232  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1
18,7.970253,148.113.8.158,192.168.1.10,TCP,66,443  >  56232 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2
